,0
552,4.736025269937
553,8.931048534522096
554,5.264598314831346
555,2.8280814657564632
556,1.8974174994811506
557,7.961699322438653
558,2.0458012311170024
559,1.9091669461322454
560,4.440257180788263
561,-0.6583333532970059
562,0.3813219134956398
563,3.95197971113339
564,11.351568200136445
565,13.484430177802187
566,5.760038538696245
567,1.1980030616549584
568,1.0261642236363742
569,2.4413716550698155
570,-0.31203232064408437
571,0.5501247707322363
572,-1.0145023459021558
573,-1.502279677466504
574,4.9370157720491985
575,15.18017716921986
576,3.04245914497551
577,4.84801372940683
578,7.764238526557802
579,6.016983186234256
580,6.629971843692465
581,11.008933645847268
582,19.253953595662278
583,1.5348812590745637
584,0.3475551952016758
585,-0.21070025033550338
586,0.6360804145713246
587,15.691505914100116
588,3.292529889708125
589,0.8300910647614728
590,2.2676998384603393
591,8.275619902023028
592,30.26
593,-1.0320552206298088
594,4.568638939466655
595,10.003846184132636
596,5.16159855176034
597,0.6534986187365576
598,1.3640391165124128
599,8.231941989233338
600,5.080454427137011
601,3.082692224365201
602,10.068143057313318
603,3.3665346596000747
604,0.027941544839814016
605,2.2503649920915905
606,-0.3664238964647666
607,2.9402747541353165
608,1.757922701899315
609,1.363531478029654
610,5.579969358550261
611,4.332349933549085
612,11.63634771445536
613,14.050928124208713
614,2.2821656778716717
615,2.6293872390557227
616,9.785822711990296
617,1.773871263942226
618,2.0582072550097337
619,-1.415578438033117
620,-0.42639270898434917
621,6.9079785855508815
622,5.055909612926461
623,-0.7301885784085584
624,2.7071319229275104
625,8.691093475012394
626,3.462310648681887
627,8.979671818524366
628,4.298765282419845
629,7.826979838264014
630,1.00139573219962
631,2.948296253627859
632,5.813572049969343
633,3.5533937623039464
634,4.588011567157082
635,3.405230532857331
636,4.35936452969072
637,0.504305921203013
638,2.1882941273189545
639,5.71112981542276
